[2015-07-27 20:31:44.805]  -------(1)--------
[2015-07-27 20:31:45.804]  -------(2)--------
[2015-07-27 20:31:46.804]  -------(3)--------
[2015-07-27 20:31:47.804]  -------(4)--------
[2015-07-27 20:31:48.804]  -------(5)--------
[2015-07-27 20:31:49.804]  -------(6)--------
[2015-07-27 20:31:50.804]  -------(7)--------
[2015-07-27 20:31:51.804]  -------(8)--------
[2015-07-27 20:31:52.804]  -------(9)--------
[2015-07-27 20:31:53.805]  -------(10)--------
[2015-07-27 20:31:54.806]  -------(11)--------
790A8256 04 CA 05
790A8256 04 CF 05
790A85B7 04 BD 06
790A85B7 04 C8 06
790A856F 04 C6 0A
790A856F 04 D1 0A
790A85B7 04 C8 06
790A856F 04 C8 0A
790A85FC 04 CB 09
790A85FC 04 CD 09
790A85FC 04 CC 09
790A855D 04 C9 03
790A855D 04 CB 03
790A855D 04 C8 03
790A8586 04 D1 0B
790A8586 04 D0 0B
790A8586 04 CB 0B
790A8273 04 CB 09
790A8273 04 CB 09
790A85A3 04 C6 06
790A85A3 04 BF 06
790A85A3 04 CA 06
790A826F 04 C5 0A
790A826F 04 C9 0A
790A826F 04 C9 0A
790A826A 04 BF 05
790A826A 04 C7 05
790A826A 04 BC 05
790A826D 04 C5 08
790A826D 04 C3 08
790A826D 04 C2 08
[2015-07-27 20:33:19.813]  -------(96)--------
790A8266 04 BE 08
790A8266 04 CA 08
790A8266 04 C6 08
790A85DF 04 CD 08
790A85DF 04 C7 08
790A85DF 04 C3 08
790A85D6 04 BF 07
790A85D6 04 C6 07
790A85D6 04 C6 07
790A8248 04 C0 01
790A8248 04 C6 01
790A8248 04 BB 01
790A85D1 04 CD 07
790A85D1 04 CC 07
790A85D1 04 CE 07
790A826B 04 C7 00
790A826B 04 CD 00
790A826B 04 C7 00
790A8267 04 C2 07
790A8267 04 CD 07
790A8267 04 CB 07
790A85CE 04 BE 07
790A85CE 04 C9 07
790A85CE 04 CA 07
790A85A0 04 D0 0A
790A85A0 04 CD 0A
790A85A0 04 CE 0A
790A8256 04 C5 06
790A8256 04 C0 06
790A8256 04 C5 06
790A85B7 04 CB 07
790A85B7 04 CB 07
790A85B7 04 CD 07
790A856F 04 CB 0B
790A856F 04 C9 0B
790A856F 04 BC 0B
790A85FC 04 C4 0A
790A85FC 04 CD 0A
790A85FC 04 BF 0A
790A855D 04 C6 04
790A855D 04 CF 04
790A855D 04 C9 04
790A8586 04 C9 00
790A8586 04 C7 00
790A8586 04 B6 00
790A8273 04 CB 0A
790A8273 04 C8 0A
790A8273 04 CD 0A
790A85A3 04 C9 07
790A85A3 04 C9 07
790A85A3 04 CE 07
790A826F 04 C8 0B
790A826F 04 C5 0B
790A826F 04 B7 0B
790A826A 04 C2 06
790A826A 04 CA 06
790A826A 04 C7 06
790A826D 04 C1 09
790A826D 04 C5 09
790A826D 04 C1 09
790A8266 04 C5 09
790A8266 04 BF 09
790A8266 04 C9 09
790A85DF 04 C9 09
790A85DF 04 C2 09
790A85D6 04 CD 08
790A85D6 04 C9 08
790A85D6 04 C8 08
790A85D1 04 D0 08
790A85D1 04 CB 08
790A85D1 04 C4 08
790A826B 04 C8 01
790A826B 04 CD 01
790A826B 04 BE 01
790A8267 04 C0 08
790A8267 04 C9 08
790A8267 04 CD 08
790A85CE 04 C6 08
790A85CE 04 C1 08
790A85CE 04 C5 08
790A85A0 04 D2 0B
790A85A0 04 CD 0B
790A85A0 04 CC 0B
790A8256 04 C5 07
790A8256 04 C9 07
790A8256 04 BD 07
790A856F 04 BE 00
790A856F 04 B9 00
790A856F 04 D1 00
790A85B7 04 CC 08
790A85B7 04 CD 08
790A85B7 04 C1 08
790A85FC 04 D0 0B
790A85FC 04 C7 0B
790A85FC 04 BF 0B
790A855D 04 C7 05
790A855D 04 BF 05
790A855D 04 C8 05
790A8586 04 BD 01
790A8586 04 CE 01
790A8586 04 C3 01
790A8273 04 BD 0B
790A8273 04 C2 0B
790A8273 04 C8 0B
790A85A3 04 CE 08
790A85A3 04 D0 08
790A85A3 04 C0 08
790A826F 04 C8 00
790A826F 04 C2 00
790A826F 04 C9 00
790A826A 04 C9 07
790A826A 04 CB 07
790A826A 04 C3 07
790A826D 04 C1 0A
790A826D 04 C9 0A
790A826D 04 BF 0A
[2015-07-27 20:33:20.814]  -------(97)--------
790A8266 04 C7 0A
790A8266 04 C0 0A
790A8266 04 C2 0A
790A85DF 04 CD 0A
790A85DF 04 CB 0A
790A85DF 04 CC 0A
790A85D6 04 BF 09
790A85D6 04 CB 09
790A85D6 04 C8 09
790A8248 04 CB 03
790A826B 04 C2 02
790A826B 04 BE 02
790A826B 04 CB 02
790A8267 04 CD 09
790A8267 04 C5 09
790A8267 04 C0 09
790A85A0 04 CC 00
790A85A0 04 CD 00
790A85A0 04 CF 00
790A8256 04 CD 08
790A8256 04 CF 08
790A8256 04 CA 08
790A85FC 04 CB 00
790A85FC 04 CD 00
790A85FC 04 CC 00
790A8586 04 D0 02
790A8586 04 D1 02
790A8586 04 CB 02
790A855D 04 CB 06
790A855D 04 C8 06
790A855D 04 C8 06
790A8273 04 CC 00
790A85A3 04 C6 09
790A85A3 04 CB 09
790A85A3 04 BF 09
790A826F 04 C5 01
790A826F 04 C9 01
790A826F 04 C9 01
790A826A 04 C2 08
790A826A 04 C6 08
790A826D 04 C5 0B
790A826D 04 C2 0B
790A826D 04 C3 0B
790A8266 04 C0 0B
790A8266 04 CA 0B
790A8266 04 C8 0B
790A85DF 04 CD 0B
790A85DF 04 C7 0B
790A85DF 04 C4 0B
790A85D6 04 C1 0A
790A85D6 04 C7 0A
790A85D6 04 C5 0A
790A85D1 04 CC 0A
790A85D1 04 CC 0A
790A8248 04 C1 04
790A85D1 04 CD 0A
790A8248 04 C5 04
790A8248 04 B8 04
790A826B 04 BE 03
790A826B 04 C7 03
790A826B 04 C7 03
790A8267 04 C1 0A
790A8267 04 CD 0A
790A8267 04 CB 0A
790A85CE 04 BE 0A
790A85CE 04 CA 0A
790A85CE 04 CB 0A
790A85A0 04 CD 01
790A85A0 04 D1 01
790A85A0 04 CE 01
790A8256 04 C0 09
790A8256 04 C2 09
790A8256 04 C6 09
790A856F 04 CC 02
790A85FC 04 C5 01
790A85FC 04 CD 01
790A85FC 04 C0 01
790A855D 04 D0 07
790A855D 04 CA 07
790A8273 04 CC 01
790A85A3 04 C8 0A
790A85A3 04 C8 0A
790A85A3 04 CE 0A
790A826F 04 C7 02
790A826F 04 C5 02
790A826F 04 B8 02
790A826A 04 C1 09
790A826A 04 CB 09
790A826A 04 C8 09
790A826D 04 C2 00
790A826D 04 C5 00
790A826D 04 C0 00
[2015-07-27 20:33:21.814]  -------(98)--------
790A8266 04 C5 00
790A8266 04 BE 00
790A8266 04 C9 00
790A85DF 04 C9 00
790A85DF 04 C2 00
790A85D6 04 CD 0B
790A85D6 04 C8 0B
790A85D6 04 C8 0B
790A8248 04 CA 05
790A8248 04 C5 05
790A8248 04 CB 05
790A85D1 04 D1 0B
790A85D1 04 CB 0B
790A85D1 04 C5 0B
790A826B 04 C8 04
790A826B 04 CD 04
790A826B 04 BF 04
790A8267 04 C1 0B
790A8267 04 CA 0B
790A8267 04 CD 0B
790A85CE 04 C6 0B
790A85CE 04 C1 0B
790A85CE 04 C5 0B
790A85A0 04 D1 02
790A85A0 04 CD 02
790A85A0 04 CC 02
790A8256 04 C9 0A
790A8256 04 C6 0A
790A8256 04 BC 0A
790A85B7 04 CC 0B
790A85FC 04 D0 02
790A85FC 04 C7 02
790A85FC 04 C0 02
790A8586 04 CE 04
790A8586 04 BC 04
790A8586 04 C5 04
790A855D 04 BD 08
790A855D 04 C7 08
790A855D 04 C6 08
790A8273 04 BF 02
790A8273 04 C3 02
790A8273 04 C8 02
790A85A3 04 CE 0B
790A85A3 04 CF 0B
790A85A3 04 C0 0B
790A826F 04 C8 03
790A826F 04 C2 03
790A826F 04 CA 03
790A826A 04 CA 0A
790A826A 04 CA 0A
790A826A 04 C4 0A
790A826D 04 C2 01
790A826D 04 C9 01
790A826D 04 C0 01
790A8266 04 C7 01
790A8266 04 C0 01
790A8266 04 C3 01
790A85DF 04 CD 01
790A85DF 04 CB 01
790A85DF 04 CC 01
790A85D6 04 CB 00
790A8248 04 CA 06
790A8248 04 CE 06
790A8248 04 CB 06
790A85D1 04 BD 00
790A85D1 04 CC 00
790A85D1 04 CA 00
790A826B 04 C2 05
790A826B 04 BC 05
790A8267 04 CD 00
790A8267 04 C5 00
790A8267 04 C0 00
790A85CE 04 C4 00
790A85CE 04 C1 00
790A85CE 04 CB 00
790A85A0 04 CD 03
790A85A0 04 CD 03
790A85A0 04 CF 03
790A8256 04 CD 0B
790A8256 04 CF 0B
790A8256 04 CA 0B
790A85B7 04 C9 00
790A85B7 04 C6 00
790A856F 04 C6 04
790A856F 04 D0 04
790A856F 04 C7 04
790A85FC 04 CD 03
790A85FC 04 CB 03
790A85FC 04 CC 03
790A855D 04 C9 09
790A855D 04 CB 09
790A855D 04 C9 09
790A8586 04 D1 05
790A8586 04 D0 05
790A8586 04 CB 05
790A8273 04 CC 03
790A8273 04 CB 03
790A85A3 04 C6 00
790A85A3 04 BD 00
790A85A3 04 CB 00
790A826F 04 C5 04
790A826F 04 C8 04
790A826F 04 C9 04
790A826A 04 C1 0B
790A826A 04 C6 0B
790A826A 04 BD 0B
790A826D 04 C5 02
790A826D 04 C4 02
790A826D 04 C2 02
[2015-07-27 20:33:22.814]  -------(99)--------
790A8266 04 C0 02
790A8266 04 CA 02
790A8266 04 C8 02
790A85DF 04 CD 02
790A85DF 04 C5 02
790A85DF 04 CA 02
790A85D6 04 C1 01
790A85D6 04 C7 01
790A85D6 04 C6 01
790A8248 04 C3 07
790A8248 04 C5 07
790A85D1 04 CC 01
790A8248 04 B7 07
790A85D1 04 CC 01
790A85D1 04 CD 01
790A826B 04 CD 06
790A826B 04 C7 06
790A826B 04 C6 06
790A8267 04 C0 01
790A8267 04 CD 01
790A8267 04 CB 01
790A85CE 04 BF 01
790A85CE 04 CA 01
790A85CE 04 CB 01
790A85A0 04 D1 04
790A85A0 04 CD 04
790A85A0 04 CE 04
790A8256 04 C0 00
790A8256 04 C0 00
790A8256 04 C6 00
790A85B7 04 CB 01
790A85B7 04 CA 01
790A85B7 04 CD 01
790A856F 04 CC 05
790A856F 04 C9 05
790A856F 04 BF 05
790A85FC 04 CD 04
790A85FC 04 C5 04
790A85FC 04 BF 04
790A855D 04 C7 0A
790A855D 04 CF 0A
790A855D 04 CA 0A
790A8586 04 C9 06
790A8586 04 C6 06
790A8586 04 B9 06
790A8273 04 CB 04
790A8273 04 CD 04
790A85A3 04 C8 01
790A85A3 04 C8 01
790A85A3 04 CE 01
790A826F 04 C8 05
790A826F 04 C5 05
790A826F 04 B9 05
790A826A 04 C1 00
790A826A 04 CC 00
790A826A 04 C7 00
790A826D 04 C1 03
790A826D 04 C5 03
790A826D 04 C1 03
790A8266 04 C5 03
790A8266 04 BE 03
790A8266 04 C8 03
790A85DF 04 CA 03
790A85D6 04 CD 02
790A85D6 04 C7 02
790A85D6 04 C8 02
790A8248 04 CA 08
790A8248 04 C4 08
790A8248 04 CC 08
790A85D1 04 D0 02
790A85D1 04 CB 02
790A85D1 04 C4 02
790A826B 04 C8 07
790A826B 04 CD 07
790A826B 04 BF 07
790A8267 04 C2 02
790A8267 04 C9 02
790A8267 04 CD 02
790A85CE 04 C7 02
790A85CE 04 C2 02
790A85CE 04 C5 02
790A85A0 04 D1 05
790A85A0 04 CD 05
790A85A0 04 CC 05
790A8256 04 CA 01
790A8256 04 C7 01
790A8256 04 BC 01
790A85B7 04 CC 02
790A85B7 04 CA 02
790A85B7 04 C1 02
790A856F 04 BF 06
790A856F 04 B9 06
790A856F 04 D1 06
790A85FC 04 D0 05
790A85FC 04 BF 05
790A85FC 04 C7 05
790A855D 04 C8 0B
790A855D 04 BF 0B
790A8586 04 CE 07
790A8586 04 BD 07
790A855D 04 C7 0B
790A8586 04 C4 07
790A8273 04 BF 05
790A8273 04 CB 05
790A8273 04 C8 05
790A85A3 04 CE 02
790A85A3 04 D0 02
790A85A3 04 C2 02
790A826F 04 C7 06
790A826F 04 C3 06
790A826F 04 CA 06
790A826A 04 C9 01
790A826A 04 C5 01
790A826D 04 C2 04
790A826D 04 C9 04
790A826D 04 C1 04
[2015-07-27 20:33:23.813]  -------(100)--------
790A8266 04 C7 04
790A8266 04 C2 04
790A8266 04 C4 04
790A85DF 04 CD 04
790A85DF 04 CB 04
790A85DF 04 CD 04
790A85D6 04 BF 03
790A85D6 04 CB 03
790A85D6 04 C7 03
790A8248 04 CA 09
790A8248 04 CD 09
790A8248 04 CB 09
790A85D1 04 BE 03
790A85D1 04 CC 03
790A85D1 04 CA 03
790A826B 04 C3 08
790A826B 04 BE 08
790A826B 04 CB 08
790A8267 04 CD 03
790A8267 04 C5 03
790A8267 04 C0 03
790A85CE 04 C3 03
790A85CE 04 C0 03
790A85CE 04 CB 03
790A85A0 04 CD 06
790A85A0 04 CE 06
790A85A0 04 CF 06
790A8256 04 CD 02
790A8256 04 CA 02
790A8256 04 CF 02
790A856F 04 D0 07
790A856F 04 C8 07
790A856F 04 D1 07
790A85B7 04 C9 03
790A85B7 04 BD 03
790A85B7 04 C6 03
790A85FC 04 CA 06
790A85FC 04 CD 06
790A85FC 04 CD 06
790A855D 04 C9 00
790A855D 04 CB 00
790A855D 04 C8 00
790A8586 04 D1 08
790A8586 04 CF 08
790A8586 04 CC 08
790A8273 04 C1 06
790A8273 04 CD 06
790A8273 04 C8 06
790A85A3 04 C5 03
790A85A3 04 BC 03
790A85A3 04 CC 03
790A826F 04 C4 07
790A826F 04 C8 07
790A826F 04 C9 07
790A826A 04 C1 02
790A826A 04 C4 02
790A826A 04 BB 02
790A826D 04 C3 05
790A826D 04 C3 05
790A826D 04 C1 05
790A8266 04 C0 05
790A8266 04 CA 05
790A8266 04 C8 05
790A85DF 04 CC 05
790A85DF 04 C7 05
790A85DF 04 C4 05
790A85D6 04 C6 04
790A85D1 04 CD 04
790A85D1 04 CC 04
790A85D1 04 CE 04
790A826B 04 BE 09
790A826B 04 C7 09
790A826B 04 C8 09
790A8267 04 C4 04
790A8267 04 CD 04
790A8267 04 CB 04
790A85CE 04 BD 04
790A85CE 04 CA 04
790A85CE 04 CB 04
790A85A0 04 CD 07
790A85A0 04 D1 07
790A85A0 04 CF 07
790A8256 04 C4 03
790A8256 04 C3 03
790A8256 04 C5 03
790A85B7 04 CA 04
790A85B7 04 CA 04
790A85B7 04 CE 04
790A856F 04 CB 08
790A856F 04 CD 08
790A856F 04 C0 08
790A85FC 04 C4 07
790A85FC 04 CE 07
790A85FC 04 BC 07
790A855D 04 C8 01
790A855D 04 CF 01
790A8586 04 C9 09
790A8586 04 C8 09
790A8586 04 B7 09
790A8273 04 CD 07
790A8273 04 CA 07
790A8273 04 CD 07
790A85A3 04 CB 04
790A85A3 04 C6 04
790A85A3 04 CE 04
790A826F 04 C6 08
790A826F 04 C4 08
790A826F 04 BD 08
790A826A 04 C1 03
790A826A 04 CC 03
790A826A 04 C9 03
790A826D 04 C1 06
790A826D 04 C6 06
790A826D 04 BD 06
[2015-07-27 20:33:24.814]  -------(101)--------
790A8266 04 C7 06
790A8266 04 BE 06
790A8266 04 C8 06
790A85DF 04 CA 06
790A85DF 04 C4 06
790A85D6 04 CC 05
790A85D6 04 C8 05
790A8248 04 C9 0B
790A8248 04 BE 0B
790A8248 04 CC 0B
790A85D1 04 CF 05
790A85D1 04 CC 05
790A85D1 04 C1 05
790A826B 04 C7 0A
790A826B 04 BA 0A
790A826B 04 CC 0A
790A8267 04 BF 05
790A8267 04 C9 05
790A8267 04 CC 05
790A85CE 04 CA 05
790A85CE 04 C0 05
790A85CE 04 C6 05
790A85A0 04 D1 08
790A85A0 04 CD 08
790A85A0 04 CC 08
790A8256 04 C5 04
790A8256 04 CA 04
790A8256 04 BA 04
790A85B7 04 CA 05
790A85B7 04 CA 05
790A85B7 04 C2 05
790A856F 04 C2 09
790A856F 04 D1 09
790A85FC 04 CF 08
790A85FC 04 C7 08
790A85FC 04 BF 08
790A8586 04 CF 0A
790A8586 04 B8 0A
790A8586 04 C6 0A
790A855D 04 BF 02
790A855D 04 C5 02
790A855D 04 C4 02
790A8273 04 C4 08
790A8273 04 BF 08
790A8273 04 CA 08
790A85A3 04 CE 05
790A85A3 04 CF 05
790A85A3 04 C0 05
790A826F 04 C4 09
790A826F 04 C3 09
790A826F 04 CB 09
790A826A 04 C9 04
790A826A 04 C9 04
790A826A 04 C6 04
790A826D 04 BD 07
790A826D 04 C9 07
790A826D 04 C3 07
790A8266 04 C6 07
790A8266 04 C3 07
790A8266 04 C7 07
790A85DF 04 CD 07
790A85DF 04 CB 07
790A85DF 04 CC 07
790A85D6 04 B4 06
790A85D6 04 CB 06
790A85D6 04 C9 06
790A8248 04 CB 00
790A8248 04 CC 00
790A8248 04 CB 00
790A85D1 04 C2 06
790A85D1 04 CA 06
790A85D1 04 C9 06
790A826B 04 C0 0B
790A826B 04 BD 0B
790A826B 04 BD 0B
790A8267 04 CC 06
790A8267 04 C2 06
790A8267 04 C1 06
790A85CE 04 C2 06
790A85CE 04 C3 06
790A85CE 04 CB 06
790A85A0 04 CD 09
790A85A0 04 CD 09
790A85A0 04 CE 09
790A8256 04 CE 05
790A8256 04 CB 05
790A8256 04 CF 05
790A85B7 04 C8 06
790A85B7 04 C5 06
790A856F 04 D0 0A
790A856F 04 C5 0A
790A856F 04 C6 0A
790A85FC 04 CD 09
790A85FC 04 CB 09
790A85FC 04 CC 09
790A855D 04 C7 03
790A855D 04 CC 03
790A855D 04 C8 03
790A8586 04 CD 0B
790A8586 04 D1 0B
790A8586 04 CC 0B
790A8273 04 CD 09
790A8273 04 CB 09
790A85A3 04 C7 06
790A85A3 04 C0 06
790A85A3 04 CC 06
790A826F 04 C2 0A
790A826F 04 C8 0A
790A826F 04 C8 0A
790A826A 04 BF 05
790A826D 04 C2 08
790A826D 04 C8 08
790A826D 04 C0 08
[2015-07-27 20:33:25.814]  -------(102)--------
790A8266 04 BD 08
790A8266 04 C9 08
790A8266 04 C8 08
790A85DF 04 C9 08
790A85DF 04 C6 08
790A85DF 04 BF 08
790A85D6 04 C5 07
790A8248 04 C6 01
790A8248 04 C5 01
790A8248 04 BB 01
790A85D1 04 CD 07
790A85D1 04 CB 07
790A85D1 04 CF 07
790A826B 04 C5 00
790A826B 04 C9 00
790A8267 04 C4 07
790A8267 04 CD 07
790A8267 04 CB 07
790A85CE 04 BF 07
790A85CE 04 CB 07
790A85CE 04 CB 07
790A85A0 04 D1 0A
790A85A0 04 CD 0A
790A85A0 04 CE 0A
790A8256 04 C4 06
790A8256 04 C1 06
790A8256 04 C5 06
790A856F 04 C6 0B
790A856F 04 CA 0B
790A856F 04 BE 0B
790A85B7 04 CA 07
790A85B7 04 CA 07
790A85B7 04 CE 07
790A85FC 04 CE 0A
790A85FC 04 C5 0A
790A85FC 04 BD 0A
790A855D 04 C5 04
790A855D 04 CD 04
790A855D 04 C7 04
790A8586 04 C8 00
790A8586 04 B9 00
790A8586 04 C8 00
790A8273 04 CD 0A
790A8273 04 CD 0A
790A8273 04 CC 0A
790A85A3 04 CA 07
790A85A3 04 C7 07
790A85A3 04 CE 07
790A826F 04 C6 0B
790A826F 04 C2 0B
790A826F 04 BC 0B
790A826A 04 C0 06
790A826A 04 CB 06
790A826A 04 C9 06
790A826D 04 C2 09
790A826D 04 C1 09
790A826D 04 BF 09
790A8266 04 C6 09
790A8266 04 BE 09
790A8266 04 C8 09
790A85DF 04 CB 09
790A85DF 04 C3 09
790A85DF 04 CA 09
790A85D6 04 CC 08
790A85D6 04 C7 08
790A85D6 04 C8 08
790A8248 04 C8 02
790A8248 04 BE 02
790A8248 04 CC 02
790A85D1 04 D0 08
790A85D1 04 CA 08
790A85D1 04 C5 08
790A826B 04 C7 01
790A826B 04 BC 01
790A826B 04 CB 01
790A8267 04 C2 08
790A8267 04 C8 08
790A8267 04 CD 08
790A85CE 04 C2 08
790A85CE 04 C6 08
790A85A0 04 D1 0B
790A85A0 04 CD 0B
790A85A0 04 CD 0B
790A8256 04 C1 07
790A8256 04 CA 07
790A8256 04 BD 07
790A85B7 04 CB 08
790A856F 04 C6 00
790A85B7 04 C5 08
790A85B7 04 CD 08
790A856F 04 D1 00
790A85FC 04 C6 0B
790A85FC 04 BD 0B
790A855D 04 C6 05
790A855D 04 BD 05
790A855D 04 C2 05
790A8586 04 D0 01
790A8586 04 BB 01
790A8586 04 C2 01
790A8273 04 C0 0B
790A8273 04 CA 0B
790A8273 04 C6 0B
790A85A3 04 CE 08
790A85A3 04 CF 08
790A85A3 04 C2 08
790A826F 04 C6 00
790A826F 04 C3 00
790A826F 04 CA 00
790A826A 04 C7 07
790A826A 04 C9 07
790A826A 04 C7 07
790A826D 04 BE 0A
790A826D 04 C8 0A
790A826D 04 C5 0A
[2015-07-27 20:33:26.816]  -------(103)--------
790A8266 04 C9 0A
790A8266 04 BC 0A
790A8266 04 C6 0A
790A85DF 04 CB 0A
790A85DF 04 CB 0A
790A85DF 04 CD 0A
790A85D6 04 B5 09
790A85D6 04 CA 09
790A85D6 04 C8 09
790A8248 04 CA 03
790A8248 04 CC 03
790A8248 04 CC 03
790A826B 04 C4 02
790A826B 04 B5 02
790A826B 04 CC 02
790A8267 04 CC 09
790A8267 04 C1 09
790A8267 04 C1 09
790A85CE 04 C0 09
790A85CE 04 C2 09
790A85CE 04 CB 09
790A85A0 04 CC 00
790A85A0 04 CE 00
790A85A0 04 CE 00
790A8256 04 CE 08
790A8256 04 CF 08
790A8256 04 CA 08
790A85B7 04 C9 09
790A85B7 04 C2 09
790A85B7 04 CD 09
790A856F 04 C6 01
790A856F 04 D1 01
790A856F 04 C2 01
790A85FC 04 CB 00
790A85FC 04 CD 00
790A85FC 04 CC 00
790A855D 04 C9 06
790A855D 04 C9 06
790A8586 04 D1 02
790A8586 04 CF 02
790A8586 04 CC 02
790A8273 04 CD 00
790A8273 04 CF 00
790A8273 04 CC 00
790A85A3 04 C2 09
790A85A3 04 B9 09
790A85A3 04 CB 09
790A826F 04 C5 01
790A826F 04 C8 01
790A826F 04 C8 01
790A826A 04 BF 08
790A826A 04 C5 08
790A826A 04 AF 08
790A826D 04 C2 0B
790A826D 04 C5 0B
790A826D 04 BF 0B
790A8266 04 BD 0B
790A8266 04 CA 0B
790A8266 04 C7 0B
790A85DF 04 CA 0B
790A85DF 04 C6 0B
790A85DF 04 C1 0B
790A85D6 04 BD 0A
790A85D6 04 C8 0A
790A85D6 04 C6 0A
790A8248 04 C6 04
790A8248 04 C7 04
790A8248 04 BC 04
790A85D1 04 CD 0A
790A85D1 04 CC 0A
790A85D1 04 CF 0A
790A826B 04 BB 03
790A826B 04 C6 03
790A826B 04 C9 03
790A8267 04 C5 0A
790A8267 04 CD 0A
790A8267 04 CC 0A
790A85CE 04 BE 0A
790A85CE 04 CC 0A
790A85CE 04 CB 0A
790A85A0 04 D1 01
790A85A0 04 CE 01
790A8256 04 C0 09
790A8256 04 C5 09
790A8256 04 C4 09
790A85B7 04 CD 0A
790A85FC 04 C6 01
790A85FC 04 CD 01
790A85FC 04 C1 01
790A8586 04 C9 03
790A855D 04 C8 07
790A8586 04 C6 03
790A8586 04 B7 03
790A855D 04 CF 07
790A855D 04 CA 07
790A8273 04 CD 01
790A8273 04 CC 01
790A8273 04 CE 01
790A85A3 04 C8 0A
790A85A3 04 CA 0A
790A85A3 04 CE 0A
790A826F 04 C6 02
790A826F 04 C5 02
790A826F 04 BD 02
790A826A 04 BE 09
790A826A 04 CA 09
790A826A 04 C4 09
790A826D 04 C1 00
790A826D 04 C5 00
790A826D 04 BE 00
[2015-07-27 20:33:27.814]  -------(104)--------
790A8266 04 C6 00
790A8266 04 BC 00
790A8266 04 C9 00
790A85DF 04 CA 00
790A85DF 04 C5 00
790A85D6 04 BD 0B
790A85D6 04 CC 0B
790A85D6 04 C8 0B
790A85D1 04 D0 0B
790A85D1 04 CB 0B
790A85D1 04 C2 0B
790A8248 04 C7 05
790A8248 04 BE 05
790A8248 04 CC 05
790A826B 04 C6 04
790A826B 04 CC 04
790A826B 04 B7 04
790A8267 04 C2 0B
790A8267 04 CB 0B
790A8267 04 CE 0B
790A85CE 04 C6 0B
790A85CE 04 C0 0B
790A85CE 04 C5 0B
790A85A0 04 D1 02
790A85A0 04 CC 02
790A85A0 04 CC 02
790A8256 04 C1 0A
790A8256 04 CA 0A
790A8256 04 BA 0A
790A85B7 04 CB 0B
790A85B7 04 C5 0B
790A85B7 04 CD 0B
790A856F 04 C3 03
790A856F 04 D1 03
790A856F 04 BD 03
790A85FC 04 CF 02
790A85FC 04 C1 02
790A85FC 04 C8 02
790A855D 04 BF 08
790A855D 04 C3 08
790A855D 04 C2 08
790A8586 04 BC 04
790A8586 04 CF 04
790A8586 04 C2 04
790A8273 04 CB 02
790A8273 04 C3 02
790A8273 04 C4 02
790A85A3 04 CD 0B
790A85A3 04 CF 0B
790A85A3 04 C2 0B
790A826F 04 C6 03
790A826F 04 C0 03
790A826F 04 CA 03
790A826A 04 C6 0A
790A826A 04 CB 0A
790A826A 04 C6 0A
790A826D 04 BE 01
790A826D 04 C8 01
790A826D 04 C3 01
790A8266 04 C6 01
790A8266 04 C0 01
790A8266 04 C6 01
790A85DF 04 CC 01
790A85DF 04 CB 01
790A85DF 04 CC 01
790A85D6 04 BB 00
790A85D6 04 CA 00
790A85D6 04 C9 00
790A85D1 04 B9 00
790A85D1 04 CD 00
790A85D1 04 CB 00
790A8248 04 CB 06
790A8248 04 CC 06
790A8248 04 CB 06
790A826B 04 C1 05
790A826B 04 BA 05
790A826B 04 CB 05
790A8267 04 CC 00
790A8267 04 C1 00
790A8267 04 C2 00
790A85CE 04 C2 00
790A85CE 04 C4 00
790A85CE 04 CB 00
790A85A0 04 CC 03
790A85A0 04 CE 03
790A85A0 04 CF 03
790A8256 04 CD 0B
790A8256 04 CA 0B
790A8256 04 CE 0B
790A85B7 04 C7 00
790A85B7 04 C4 00
790A856F 04 D1 04
790A856F 04 C5 04
790A85FC 04 CB 03
790A85FC 04 CD 03
790A85FC 04 CC 03
790A855D 04 C8 09
790A855D 04 CC 09
790A855D 04 C8 09
790A8586 04 D1 05
790A8586 04 CF 05
790A8586 04 CC 05
790A8273 04 BF 03
790A8273 04 CD 03
790A8273 04 CA 03
790A85A3 04 C2 00
790A85A3 04 C1 00
790A85A3 04 CA 00
790A826F 04 C5 04
790A826F 04 C9 04
790A826F 04 C9 04
790A826A 04 BF 0B
790A826A 04 C3 0B
790A826A 04 BC 0B
790A826D 04 C0 02
790A826D 04 C5 02
790A826D 04 C0 02
[2015-07-27 20:33:28.815]  -------(105)--------
790A8266 04 BF 02
790A8266 04 CA 02
790A8266 04 C6 02
790A85DF 04 CA 02
790A85DF 04 C5 02
790A85DF 04 C5 02
790A85D6 04 C7 01
790A8248 04 C6 07
790A8248 04 C8 07
790A8248 04 B8 07
790A85D1 04 CD 01
790A85D1 04 CB 01
790A85D1 04 CF 01
790A826B 04 BA 06
790A826B 04 C7 06
790A826B 04 C4 06
790A8267 04 C2 01
790A8267 04 CD 01
790A8267 04 CE 01
790A85CE 04 C0 01
790A85CE 04 CA 01
790A85CE 04 CB 01
790A85A0 04 D1 04
790A85A0 04 CE 04
790A8256 04 C4 00
790A8256 04 C2 00
790A8256 04 C2 00
790A85B7 04 BA 01
790A85B7 04 CB 01
790A85B7 04 CD 01
790A856F 04 CB 05
790A856F 04 CD 05
790A856F 04 BC 05
790A85FC 04 C5 04
790A85FC 04 CE 04
790A85FC 04 BF 04
790A855D 04 C6 0A
790A855D 04 CA 0A
